Timestamp;Trial;Value;Best;Parameters
2022-12-11 17:26:32,361;0;-0.018111269460551506;0;{'percentile': 66, 'regressor': 'ElasticNet', 'l1_ratio': 0.9757289787231697, 'alpha': 0.26356289471359023}
2022-12-11 17:32:30,892;1;0.030893895906244452;1;{'percentile': 49, 'regressor': 'HuberRegressor', 'n_estimators': 55, 'epsilon': 2.8055980590501486, 'alpha': 0.0003790321152368359}
2022-12-11 17:34:29,179;2;0.13259651842580295;2;{'percentile': 66, 'regressor': 'XGBRegressor', 'alpha': 0.6836977651115285, 'gamma': 1.1095367198744666, 'eta': 0.16736579216443564, 'n_estimators': 67, 'max_depth': 11, 'subsample': 0.7902602162651663, 'colsample_bytree': 0.6500246556078881}
2022-12-11 17:36:20,129;3;-0.02397674566921415;2;{'percentile': 82, 'regressor': 'ElasticNet', 'l1_ratio': 0.7919063094126526, 'alpha': 0.9687148195996788}
2022-12-11 17:38:14,469;4;0.13327671370606758;4;{'percentile': 80, 'regressor': 'XGBRegressor', 'alpha': 1.5876006121577935, 'gamma': 7.430471917456353, 'eta': 0.21566456354913224, 'n_estimators': 74, 'max_depth': 12, 'subsample': 0.7569809704455669, 'colsample_bytree': 0.6196161164491307}
2022-12-11 17:40:12,582;5;0.15083182241532062;5;{'percentile': 53, 'regressor': 'XGBRegressor', 'alpha': 1.0582172313537936, 'gamma': 5.610344211351077, 'eta': 0.6530263333113017, 'n_estimators': 384, 'max_depth': 7, 'subsample': 0.8054679888294256, 'colsample_bytree': 0.6039591163018988}
2022-12-11 17:41:52,417;6;0.17700054522502945;6;{'percentile': 43, 'regressor': 'XGBRegressor', 'alpha': 4.244361982992269, 'gamma': 4.200548572669478, 'eta': 0.5021350439290535, 'n_estimators': 169, 'max_depth': 5, 'subsample': 0.9594787018440424, 'colsample_bytree': 0.8030161612275505}
2022-12-11 17:43:41,397;7;0.1655394968707909;6;{'percentile': 64, 'regressor': 'XGBRegressor', 'alpha': 0.9592477007717423, 'gamma': 5.111713111665136, 'eta': 0.18353150296720397, 'n_estimators': 183, 'max_depth': 8, 'subsample': 0.7263943415950825, 'colsample_bytree': 0.7190614077765495}
2022-12-11 19:13:06,311;8;0.03544870526944273;6;{'percentile': 88, 'regressor': 'HuberRegressor', 'n_estimators': 472, 'epsilon': 1.3141231271141098, 'alpha': 0.013924188458461117}
2022-12-11 19:24:19,956;9;0.034467054556818755;6;{'percentile': 37, 'regressor': 'HuberRegressor', 'n_estimators': 138, 'epsilon': 1.0518039036217366, 'alpha': 0.015157051829808048}
2022-12-11 19:26:00,418;10;0.17559135802263698;6;{'percentile': 34, 'regressor': 'XGBRegressor', 'alpha': 5.823625066015812, 'gamma': 1.502615194363449, 'eta': 0.5450455551555466, 'n_estimators': 216, 'max_depth': 4, 'subsample': 0.9811027743003821, 'colsample_bytree': 0.867981289752466}
2022-12-11 19:27:38,296;11;0.17640756369135593;6;{'percentile': 33, 'regressor': 'XGBRegressor', 'alpha': 7.329200741419784, 'gamma': 1.3956707879847587, 'eta': 0.6110575160507296, 'n_estimators': 219, 'max_depth': 4, 'subsample': 0.989551812944697, 'colsample_bytree': 0.898292227955386}
